Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,3.480000,3.490000,3.380000,3.430000,3.430000,38400
2023-01-04,3.570000,3.580000,3.430000,3.560000,3.560000,13200
2023-01-05,3.510000,3.510000,3.400000,3.450000,3.450000,25400
2023-01-06,3.430000,3.490000,3.320000,3.360000,3.360000,28000
2023-01-09,3.330000,3.460000,3.330000,3.400000,3.400000,41600
2023-01-10,3.460000,3.540000,3.430000,3.540000,3.540000,8400
2023-01-11,3.540000,3.540000,3.040000,3.050000,3.050000,79800
2023-01-12,3.120000,3.270000,2.950000,2.950000,2.950000,45700
2023-01-13,3.100000,3.200000,2.950000,3.000000,3.000000,42800
2023-01-17,2.980000,3.080000,2.930000,2.960000,2.960000,33000
2023-01-18,3.000000,3.040000,2.990000,2.990000,2.990000,24900
2023-01-19,3.010000,3.030000,2.970000,3.000000,3.000000,2900
2023-01-20,3.000000,3.000000,2.900000,2.900000,2.900000,14900
2023-01-23,2.930000,2.930000,2.840000,2.870000,2.870000,23900
2023-01-24,2.820000,2.850000,2.800000,2.800000,2.800000,29000
2023-01-25,2.700000,2.920000,2.700000,2.920000,2.920000,43000
2023-01-26,2.920000,3.000000,2.920000,3.000000,3.000000,43800
2023-01-27,3.000000,3.000000,2.850000,2.900000,2.900000,33800
2023-01-30,2.840000,3.000000,2.840000,2.930000,2.930000,22900
2023-01-31,3.000000,3.140000,3.000000,3.000000,3.000000,37200
2023-02-01,2.890000,3.080000,2.800000,2.960000,2.960000,35600
2023-02-02,2.970000,3.020000,2.930000,2.950000,2.950000,14100
2023-02-03,2.980000,3.000000,2.950000,2.960000,2.960000,8300
2023-02-06,2.920000,2.980000,2.830000,2.830000,2.830000,39900
2023-02-07,2.880000,2.880000,2.840000,2.870000,2.870000,25500
2023-02-08,2.870000,2.880000,2.860000,2.870000,2.870000,11300
2023-02-09,2.850000,2.950000,2.850000,2.910000,2.910000,33200
2023-02-10,2.900000,2.950000,2.900000,2.920000,2.920000,14700
2023-02-13,2.880000,2.920000,2.850000,2.900000,2.900000,35100
2023-02-14,2.860000,2.920000,2.850000,2.890000,2.890000,13400
2023-02-15,2.930000,2.950000,2.890000,2.950000,2.950000,12300
2023-02-16,2.970000,2.990000,2.930000,2.980000,2.980000,20900
2023-02-17,2.970000,3.060000,2.960000,2.970000,2.970000,40900
2023-02-21,3.020000,3.020000,2.930000,2.930000,2.930000,6800
2023-02-22,2.860000,2.930000,2.840000,2.840000,2.840000,21800
2023-02-23,2.860000,2.910000,2.710000,2.710000,2.710000,29400
2023-02-24,2.670000,2.770000,2.620000,2.680000,2.680000,20700
2023-02-27,2.650000,2.730000,2.650000,2.670000,2.670000,14200
2023-02-28,2.660000,2.730000,2.660000,2.700000,2.700000,18700
